load time,38857
Iteration,sampling time(ms),aggregation time(ms), samp+agg(ms),histo(ms),return time(ms), Iteration Time (ms)
1,2,29,34,0,0,35
2,1,25,26,8,0,35
3,0,24,26,3,0,29
4,0,24,25,3,0,28
5,0,24,25,3,0,29
6,0,24,25,2,0,27
7,0,25,26,2,0,29
8,0,23,24,1,0,25
9,0,23,24,1,0,25
10,0,23,24,1,0,26
11,0,23,24,1,0,25
12,0,23,23,1,0,25
13,0,23,23,1,0,25
14,0,23,24,1,0,25
15,0,24,25,1,0,26
16,0,23,25,1,0,26
17,0,24,25,1,0,26
18,0,24,25,1,0,26
19,0,24,25,1,0,26
20,0,23,24,1,0,25
21,0,24,25,1,0,26
22,0,23,24,1,0,26
23,0,24,24,1,0,26
24,0,24,25,1,0,26
25,0,24,25,1,0,26
26,0,24,25,1,0,26
27,0,23,24,1,0,25
28,0,23,23,0,0,24
29,0,23,24,0,0,25
30,0,23,24,0,0,25
31,0,22,23,0,0,24
32,0,23,24,0,0,24
33,0,23,24,0,0,25
34,0,23,24,0,0,25
35,0,23,23,1,0,25
36,0,24,25,0,0,26
37,0,23,23,0,0,25
38,0,23,23,0,0,24
39,0,23,24,0,0,25
40,0,23,24,0,0,25
41,0,23,24,0,0,25
42,0,23,24,0,0,25
43,0,23,24,0,0,25
44,0,23,23,0,0,24
45,0,23,24,0,0,25
46,0,23,23,0,0,24
47,0,23,24,0,0,24
48,0,23,24,0,0,25
49,0,23,24,0,0,25
50,0,23,24,0,0,25
51,0,23,24,0,0,25
52,0,23,24,0,0,25
53,0,24,24,0,0,25
54,0,24,24,0,0,26
55,0,23,24,0,0,25
56,0,23,24,0,0,25
57,0,23,24,0,0,24
58,0,24,24,0,0,25
59,0,23,23,0,0,24
60,0,23,24,0,0,25
61,0,23,24,0,0,25
62,0,23,24,0,0,25
63,0,23,23,0,0,24
64,0,23,24,0,0,25
65,0,23,23,0,0,24
66,0,23,23,0,0,24
67,0,23,23,0,0,24
68,0,23,23,0,0,24
69,0,23,24,0,0,25
70,0,23,24,0,0,25
71,0,23,23,0,0,24
72,0,22,23,0,0,24
73,0,24,25,0,0,26
74,0,23,24,0,0,24
75,0,23,23,0,0,24
76,0,23,24,0,0,25
77,0,23,24,0,0,25
78,0,22,23,0,0,24
79,0,23,23,0,0,24
80,0,24,24,0,0,25
81,0,23,23,1,0,24
82,0,23,23,0,0,24
83,0,22,23,0,0,24
84,0,23,23,0,0,24
85,0,22,23,0,0,24
86,0,23,24,0,0,25
87,0,23,24,0,0,25
88,0,23,24,1,0,25
89,0,23,24,0,0,25
90,0,24,25,0,0,26
91,0,23,24,0,0,24
92,0,23,23,0,0,24
93,0,24,24,1,0,25
94,0,23,24,0,0,25
95,0,23,24,1,0,25
96,0,23,24,0,0,25
97,0,23,24,0,0,25
98,0,23,24,1,0,25
99,0,24,24,0,0,25
100,0,23,23,0,0,24
101,0,24,25,0,0,26
102,0,23,23,0,0,24
103,0,23,23,0,0,24
104,0,22,23,1,0,24
105,0,23,24,0,0,25
106,0,23,24,0,0,25
107,0,22,23,0,0,24
108,0,23,23,0,0,24
109,0,24,25,0,0,26
110,0,23,24,0,0,25
111,0,23,23,0,0,24
112,0,22,23,0,0,24
113,0,24,25,0,0,26
114,0,23,24,0,0,25
115,0,23,24,0,0,25
116,0,23,23,0,0,24
117,0,23,24,0,0,25
118,0,23,23,0,0,24
119,0,23,24,0,0,25
120,0,24,24,0,0,25
121,0,23,24,0,0,24
122,0,23,23,0,0,24
123,0,23,24,0,0,24
124,0,23,24,0,0,25
125,0,23,24,0,0,24
126,0,23,23,0,0,24
127,0,23,23,1,0,24
128,0,24,25,0,0,26
129,0,23,24,0,0,25
130,0,24,24,0,0,25
131,0,23,24,0,0,25
132,0,23,23,0,0,24
133,0,23,24,0,0,25
134,0,23,24,0,0,25
135,0,23,24,0,0,25
136,0,23,24,0,0,25
137,0,23,23,0,0,24
138,0,23,24,0,0,25
139,0,23,23,0,0,24
140,0,23,24,0,0,24
141,0,23,24,0,0,25
142,0,23,24,0,0,25
143,0,23,24,0,0,25
144,0,23,23,0,0,24
145,0,23,24,0,0,25
146,0,23,23,1,0,25
147,0,24,24,0,0,25
148,0,23,24,1,0,25
149,0,23,23,0,0,24
150,0,23,24,0,0,25
151,0,23,24,0,0,25
152,0,23,24,0,0,25
153,0,23,24,0,0,25
154,0,23,24,0,0,25
155,0,23,24,0,0,25
156,0,23,24,1,0,25
157,0,23,24,0,0,25
158,0,23,24,0,0,25
159,0,23,24,0,0,25
160,0,23,24,0,0,25
161,0,23,24,0,0,24
162,0,23,23,0,0,24
163,0,23,24,0,0,25
164,0,23,24,0,0,24
165,0,23,24,0,0,25
166,0,23,24,0,0,25
167,0,24,24,0,0,25
168,0,23,23,0,0,24
169,0,23,24,0,0,25
170,0,24,24,0,0,25
171,0,23,23,0,0,24
172,0,23,23,0,0,24
173,0,23,24,0,0,25
174,0,24,24,0,0,25
175,0,23,24,0,0,24
176,0,23,23,0,0,24
177,0,23,24,0,0,25
178,0,23,24,0,0,25
179,0,23,24,0,0,25
180,0,24,25,0,0,26
181,0,24,24,0,0,25
182,0,23,24,0,0,25
183,0,23,24,0,0,25
184,0,23,24,0,0,25
185,0,23,24,0,0,25
186,0,23,23,0,0,24
187,0,22,23,0,0,24
188,0,9887,9888,0,0,9889
189,0,22,23,0,0,24
190,0,22,23,0,0,24
191,0,22,23,0,0,24
192,0,22,23,0,0,24
193,0,23,23,0,0,24
194,0,22,23,0,0,24
195,0,22,23,0,0,24
196,0,22,23,0,0,24
197,0,23,24,0,0,25
198,0,23,24,0,0,25
199,0,23,23,0,0,24
200,0,23,24,0,0,25
201,0,23,23,0,0,24
202,0,22,23,0,0,24
203,0,22,23,0,0,24
204,0,24,25,1,0,26
205,0,23,23,0,0,24
206,0,23,24,1,0,25
207,0,23,24,1,0,25
208,0,23,24,1,0,25
209,0,23,23,0,0,24
210,0,22,23,1,0,24
211,0,24,24,0,0,25
212,0,23,23,0,0,24
213,0,23,23,0,0,24
214,0,23,23,0,0,24
215,0,23,24,0,0,25
216,0,23,24,1,0,25
217,0,22,23,1,0,24
218,0,24,24,0,0,25
219,0,23,23,1,0,25
220,0,23,24,0,0,24
221,0,23,23,0,0,24
222,0,23,24,0,0,25
223,0,23,24,0,0,25
224,0,23,24,0,0,24
225,0,22,23,1,0,24
226,0,23,24,0,0,25
227,0,23,23,0,0,24
228,0,23,24,0,0,25
229,0,24,25,1,0,26
230,0,23,24,0,0,25
231,0,22,23,0,0,24
232,0,22,23,0,0,24
233,0,23,24,0,0,25
234,0,23,23,1,0,25
235,0,23,24,0,0,25
236,0,23,23,0,0,24
237,0,24,25,0,0,26
238,0,23,24,0,0,25
239,0,23,23,0,0,24
240,0,23,24,0,0,25
241,0,23,23,1,0,25
242,0,23,23,0,0,24
243,0,22,23,0,0,24
244,0,23,24,0,0,25
245,0,23,24,0,0,25
246,0,23,23,0,0,24
247,0,23,23,1,0,25
248,0,23,23,0,0,24
249,0,23,24,0,0,25
250,0,23,23,0,0,24
251,0,23,23,0,0,24
252,0,24,24,0,0,25
253,0,23,23,0,0,24
254,0,23,24,0,0,24
255,0,23,24,1,0,25
256,0,24,25,0,0,26
257,0,23,24,1,0,25
258,0,23,24,0,0,25
259,0,23,24,0,0,25
260,0,23,24,0,0,25
261,0,23,24,0,0,25
262,0,23,23,0,0,24
263,0,23,24,1,0,25
264,0,23,24,0,0,25
265,0,23,24,0,0,25
266,0,23,24,0,0,25
267,0,23,23,0,0,24
268,0,23,24,0,0,25
269,0,23,24,0,0,25
270,0,23,24,1,0,25
271,0,23,23,0,0,24
272,0,23,24,0,0,25
273,0,23,23,0,0,24
274,0,24,24,0,0,25
275,0,23,24,0,0,25
276,0,23,24,0,0,25
277,0,23,23,0,0,24
278,0,23,23,0,0,24
279,0,23,24,0,0,25
280,0,23,24,0,0,25
281,0,23,23,0,0,24
282,0,23,23,0,0,24
283,0,23,23,0,0,24
284,0,24,25,0,0,26
285,0,25,26,0,0,27
286,0,23,24,0,0,25
287,0,23,23,0,0,24
288,0,23,24,0,0,25
289,0,23,24,0,0,25
290,0,23,23,0,0,24
291,0,22,23,0,0,24
292,0,23,23,0,0,24
293,0,24,25,0,0,26
294,0,23,24,0,0,25
295,0,23,23,0,0,24
296,0,23,23,0,0,24
297,0,24,24,0,0,25
298,0,23,24,0,0,25
299,0,22,23,0,0,24
300,0,23,24,0,0,25
301,0,22,23,0,0,24
302,0,23,24,0,0,25
303,0,24,24,0,0,25
304,0,24,24,0,0,25
305,0,23,24,0,0,25
306,0,23,23,0,0,24
307,0,23,23,0,0,24
308,0,23,24,0,0,25
309,0,23,23,0,0,24
310,0,23,24,0,0,25
311,0,24,24,0,0,25
312,0,23,24,0,0,25
313,0,23,24,0,0,25
314,0,23,24,0,0,25
315,0,23,24,0,0,25
316,0,22,23,0,0,24
317,0,23,24,0,0,25
318,0,23,24,0,0,24
319,0,23,24,0,0,25
320,0,23,24,0,0,25
321,0,23,23,0,0,24
322,0,24,24,0,0,25
323,0,23,24,0,0,25
324,0,23,24,0,0,25
325,0,23,23,0,0,24
326,0,23,23,0,0,24
327,0,23,24,0,0,25
328,0,23,24,0,0,25
329,0,23,24,0,0,25
330,0,23,24,0,0,25
331,0,23,24,0,0,25
332,0,23,23,0,0,24
333,0,23,23,0,0,24
334,0,23,24,0,0,24
335,0,22,23,0,0,24
336,0,24,24,0,0,25
337,0,23,24,0,0,25
338,0,22,23,0,0,24
339,0,23,24,0,0,25
340,0,23,23,0,0,24
341,0,23,24,0,0,24
342,0,23,24,1,0,25
343,0,24,24,1,0,26
344,0,23,24,0,0,24
345,0,23,24,0,0,25
346,0,22,23,0,0,24
347,0,23,23,0,0,24
348,0,24,25,0,0,26
349,0,23,24,0,0,24
350,0,23,23,0,0,24
351,0,23,23,0,0,24
352,0,24,25,1,0,26
353,0,24,24,0,0,25
354,0,23,24,0,0,25
355,0,23,24,0,0,25
356,0,23,24,0,0,25
357,0,23,24,0,0,25
358,0,23,24,0,0,25
359,0,23,24,0,0,25
360,0,23,23,0,0,24
361,0,23,23,0,0,24
362,0,23,24,0,0,25
363,0,23,24,1,0,25
364,0,24,24,0,0,25
365,0,23,23,0,0,24
366,0,23,24,0,0,25
Total Time,19137
